epoch,CBAM_UNET_loss,CBAM_UNET_iou,UNET_loss,UNET_iou,UNET_PLUS_PLUS_loss,UNET_PLUS_PLUS_iou
0,0.5974830347916176,0.0007087696576490998,0.44287406576090843,0.04330848157405853,0.42552633943228885,0.2081063985824585
1,0.5159602411862078,0.817402720451355,0.3279670723553362,0.7796295881271362,0.33697970160122576,0.775521993637085
2,0.4603024947232214,0.8558738827705383,0.3006185765924125,0.8117432594299316,0.309805325393019,0.8562934994697571
3,0.420852400105575,0.863859236240387,0.2807624812783866,0.8579766750335693,0.2899138393073246,0.8905315399169922
4,0.38761950977917375,0.8772414922714233,0.2651842339285489,0.8856234550476074,0.27387803381886977,0.8943037986755371
5,0.36026746651221964,0.8804656267166138,0.24903751036216473,0.8918716907501221,0.2595035084362688,0.8772477507591248
6,0.3351460736373375,0.8857992887496948,0.23385119643704644,0.9020305871963501,0.24362093415753594,0.9010452628135681
7,0.3129451932578251,0.872671365737915,0.222133901612512,0.9033962488174438,0.22878446661192794,0.9102186560630798
8,0.2939616030660169,0.8986777663230896,0.2108785160656633,0.9024437665939331,0.21573048007899318,0.9171716570854187
9,0.27410874901146726,0.9017660021781921,0.20162396389862586,0.9101161360740662,0.20481391199703874,0.914842963218689
